Station_ID,avg_rating,review_count,total_safety_issues,avg_keyword_count,bad_review_ratio,review_risk_modifier
STA_MK_01,3.2,5,1,0.4,0.2,0.37574401268652463
STA_MK_02,2.8,5,0,0.0,0.0,0.2371293658878339
STA_MK_03,2.6,5,0,0.0,0.0,0.2371293658878339
STA_MK_04,3.0,5,3,0.6,0.6,0.8896114652045628
STA_MK_05,2.8333333333333335,6,1,0.3333333333333333,0.16666666666666666,0.3742468133871528
STA_MK_06,3.8333333333333335,6,1,0.16666666666666666,0.16666666666666666,0.3742468133871528
STA_MK_07,3.3333333333333335,6,0,0.0,0.0,0.2371293658878339
STA_MK_08,3.0,7,4,0.7142857142857143,0.5714285714285714,1.2695616794434368
STA_MK_09,7.5,2,1,0.5,0.5,0.37870943937099616
STA_MK_10,8.666666666666666,3,0,0.0,0.0,0.2371293658878339
STA_MK_11,6.5,2,0,0.0,0.0,0.2371293658878339
STA_MK_12,6.5,2,1,0.5,0.5,0.37870943937099616
STA_MK_13,9.5,2,1,1.5,0.5,0.37870943937099616
STA_MK_14,6.5,2,0,0.0,0.0,0.2371293658878339
STA_MK_15,1.0,3,0,0.0,0.0,0.2371293658878339
STA_MK_16,5.5,2,0,0.0,0.0,0.2371293658878339
STA_MK_17,8.666666666666666,3,2,0.6666666666666666,0.6666666666666666,0.5921234979272288
STA_MK_18,2.0,2,0,0.0,0.0,0.2371293658878339
STA_MK_19,7.5,2,1,0.5,0.5,0.37870943937099616
